livre.chapitre.verset,Bafia
1JN.1.1,"Tì kàni mìni kìɓan ki jɛ̀ɛ̀ ì cɛɓ ìnɛ ì ɓaghà, a rìtumɛ̀n ɗi ɓyom ɓìcèm; tì wokà yɔ̀ di yɛɛ̀ tòtòg, tì ghɛn yɔ̀ ri mis, tì sìŋì yɔ̀, tì ki kòm yɔ̀ ri ɓyàg ɓis. "
1JN.1.2,"Yɛ̀ɛ cɛɓ ki resɛ̀ngày, ɓìsii ghɛngà kɔ; fɔɔnnɛ ti kpaakpaa mini kìɓan ki miì, tì ki ghagsi mini ɓɔlɛ à cɛɓ ki fiɗyàɓ fikɔ̀ɔ̀ ki ki ɓaghà jàŋbog rì Seŋi, cɛɓ kìn kɛɛ̀ki ɓɛ resìghà ɓìsi, lɛ ti yi kɔ. "
1JN.1.3,"Kìɓan ki tì kìghà lɛ, tì ghɛn tì ki wog kɛɛ̀ki ti ghaaghagsì girig mìni, lɛ di mìni girig, ɓi ɓa ɓɛ̀ràrɛn ri ɓìsi. Nni ɓìsii ri ɓɛ̀ràrɛn lɛ rì Seŋi, rì Yeesus Kiris à Man wiì. "
1JN.1.4,Tì kàni mìni ɓìɓan ɓi lɛ di kìnyàà kis kɛɛ roǹ lɛ pisa.
1JN.1.5,"Ɓɔlɛ ànɛ ɓìsii wokà rì nyi, innɛ ɓìsii ki ghagsii mìni; nnyɛɛ lɛ: Bɛ̀ll à rì kìtɛɛtɛn, birìm ì yin a lɔ̀ŋkii. "
1JN.1.6,"I tì kpaa lɛ, tì rì ɓɛ̀ràrɛn ɗi nyi, tì ki kɛ̀ɛ̀kɛɛ ɓi birìm di tì pwàa, tyɛ̀ ki ki kì yɛ̀ɛ saaɗ a kpaakpàà. "
1JN.1.7,"Kìɓan kifog i ti kɛ̀ɛ̀kɛɛ ɓi kìtɛɛtɛn fɛlɛ yɛ̀ɛ nyimiɗ a rì ɓi kìtɛɛtɛn, di tì rì ɓɛ̀ràrɛn ɓisi mɛ̀to mɛ̀cèm, fɔɔnnɛ bwaɓ yi Man wiì Yeesus yi soò ɓìɓe ɓis ɓìcèm. "
1JN.1.8,"I tì kpaa lɛ, tì yin ɗi ɓìɓe, di tì pwààrɛɛ ɓìsiìɓɔmiɗ, saaɗ kɛ̀ɛ ki ɓa a lɔ̀ŋkis. "
1JN.1.9,"Wɔ̀lɛ i tì gherɛɛ ɓìɓe ɓis ɓi mis mɛ Bɛ̀ll, tì rì lɛ tì ɓa rì ǹtyweeyi ri nyi lɛ, rìkì ɗii ɗi ri yɛ̀ɛ saaɗ a kɔ̀nkɔ̀n; à ɓiì cenɛɛ ɓisi ɓìɓe, à ki sòò mɛnànì mis mɛcèm. "
1JN.1.10,"I tì ki kpaa lɛ tì kìghà ɓi kiɓe, di tì ghaasii nyi pwààpwaà, jɛ̀ɛ̀ yìì yɛ̀ kɛɛ̀ ki ɓa ɓisi ɓi mɛ̀rem."
1JN.2.1,"Ɓɔn ɓɛm, ǹkàni mìni kìɓan ki lɛ, di kɛ̀ ɓi kì kiɓe; wɔ̀lɛ i ki kpaŋi lɛ wààdɛŋ ù kìi kìɓe, tì rì rì ŋwaànɛ a kamɛn ɗì ɓìsi jàŋbog rì Tààta, nnyɛɛ ri Yeesus Kiris ànɛ à rì saaɗ à mum. "
1JN.2.2,"Lɛ nyimiɗ a faghà cɛɓ kii ɓisuulɛ ɓìɓe ɓis ɓyɛɛ ɓa ɓìcenɛn, àa gì lɛ ɓinkis ɓyɔ rì ɓyɔ, lɔŋ ɓisuu ɓiɓe ɓi ɓum ɓɛ̀cèm girig."
1JN.2.3,"I ti ɓèŋɓeŋ ɓidɔ̀gsɛna ɓi Bɛ̀ll, fɔɔnnɛ tì rì lɛ tì yi lɛ, tì mɛ yi Bɛ̀ll. "
1JN.2.4,"Ŋwaànɛ à kpaa lɛ, à mɛ yi Bɛ̀ll, kɛ̀ɛ ki ɓèŋ ɓidɔ̀gsɛna ɓii, à rì pwààpwaà, saaɗ kɛ̀ɛ ki ɓa a lɔ̀ŋkii. "
1JN.2.5,"Wɔ̀lɛ i mum à ti à ɓègì jɛ̀ɛ̀ yìì, di ǹkɔ̀nɛ̀n à rì ǹɗonɛn ŋwaànɛ̀n ɓi nɗem kɔɔ̀kɔɔ̀ à rìron; bee innɛ tì rì lɛ tì yi lɛ tì rì ɓɛ̀ràrɛn ɗi Bɛ̀ll ì rì lɛ, "
1JN.2.6,"ŋwaànɛ à kpaa lɛ, à rì ǹɗàrɛn ri Bɛ̀ll, à ghɛ̀ɛ̀sɛɛ kì ghɛɓì yɛ̀ɛ Yeesus nyimiɗ à ghɛɓkà."
1JN.2.7,"Ɓum ɓɛm ɓɛ nɗem, àa kìdɔ̀gsɛna ki nyɔn kɛɛ̀ki ǹkàni mìni, lɔŋ ki abɛ̀y ki ɓì tekà à tumɛ̀n a rìtumɛ̀n; kìdɔ̀gsɛna ki abɛ̀y kiǹ kɛɛ ri jɛ̀ɛ̀ yìì inɛ ɓì mɛ wog. "
1JN.2.8,"Nsoò fɔlɔɔ kìdɔ̀gsɛna ki nyɔn kɛɛ̀ki ǹkàni mìni; kiŋcèm kɛɛ̀ki saaɗ ànɛ miì a ghɛɛghɛnɛ̀n ɓi Kiris rì ɓi mìni ɓisuulɛ birìm ì mɛ lèg, kɔɔ̀kɔɔ̀ à kìtɛɛtɛn à ti gì ɓiì lònlomi. "
1JN.2.9,"Ŋwaànɛ à kpaa lɛ à rì ɓi kìtɛɛtɛn à ki ɓèèzɛn geni, à kaka ɓi birìm. "
