livre.chapitre.verset,Bafia
2TH.1.1,"Mɛ̀ Pol, ɓɛɛ̀ Silas, rì Timote, tì kàniì ɓumɓɛ ɓi Kìseŋi ki ɓɛgherɛ̀n ki a Tesalonika, ki ki ri ki Bɛ̀ll à Seŋi wìs, ɓi Yeesus Kiris à Kan wìs. "
2TH.1.2,"Bɛ̀ll Seŋi rì Kan Yeesus Kiris ɓɛɛ fa mìni lɛ rì geesɛ̀n, rì fyòoog."
2TH.1.3,"Ɓɔɔsoŋ̀, tì ghɛ̀ɛ̀sɛɛ kì fafaa Bɛ̀ll ɓìtògsɛ̀n ɓisu win tyɛ̀ ki fɔy; tì ghɛ̀ɛ̀sɛɛ kì kìkii fɔlɔɔ ɓisuulɛ rìgherɛ̀n ɗin ɗyɛɛ̀ tɔɔtɔ̀ɔ̀, ǹkɔ̀nɛ̀n ànɛ à rì ɓi nyìinyìm wìn a tèèghtèghɛ̀n. "
2TH.1.4,"Fɔlɔɔ nnɛ ti kaakalɛ̀n Ɓìseŋi ɓi ɓɛgherɛ̀n Bɛ̀ll rìɓa ɗin, ɓisuu kisììrì kin, rì rìgherɛ̀n ɗin ɓi mɛ̀tɔɓ mɛ̀cèm, rì rìkɛŋ ɗìcèm ɗi ɓi wowòg ɓì ki nìniɗ mɛrem. "
2TH.1.5,"Kìɓan kiǹ kɛɛ̀ rèresi lɛ, Bɛ̀ll à ti à yɔ̀mgì ɓum yɛ̀ɛ saaɗ à rì. Fɔlɔɔ yɛɛ ɓiì kìi lɛ ɓi ɓa ɓumɓɛ ɓɛ ghɛɛ̀sɛɛ kì terì kìlɔ̀ŋ ki Bɛ̀ll ki ɓi wuwu mɛtɔɓ miì. "
2TH.1.6,"Lɛ ɓi san ànɛ yɛ̀ɛ Bɛ̀ll ki ri lɛ saaɗ lɛ Bɛ̀ll a yeèsi girig ɓumɓɛ ɓɛɛ̀ yeeyeèsì mìni, "
2TH.1.7,"à fa mìni ɓɛ ɓi wowog rikɛŋ rìfɔɔsɛ̀n ǹɗaŋ ri ɓìsi; à ɓiì kìi fɔlɔɔ yɛ̀ɛ Kan Yeesus à ɓiì rèsɛɛ yi aɗyoo, nɗaŋ ri ɓum ɓii ɓɛ titom ɓɛ ɓɛ ri rì ìtèɗ, "
2TH.1.8,"ɓi nɗòò wu ɗuu, lɛ a pɔnɔsi lɛ, rì ɓumɓɛ ɓɛ yii ɓi Bɛ̀ll, rì ɓɛ̀roɓɛ ɓɛ ti ɓɛ̀ kɛɛ̀ wog rikpaa ɗi Syeesyee à Ɓɔlɛ à Kan wìs Yeesus. "
2TH.1.9,"Pɔnɔsì ànɛ ɓɛ ri ɓiì terì, à rì rìɗyaŋ ɗi fiɗyàɓ fikɔ̀ɔ̀, ɓɛ kɛɛ̀ wuɓsɛn ìsu wu Bɛ̀ll, ɓɛ̀ kɛɛ̀ ki wuɓsɛn kitɛɛtɛn ki rikem ɗii, "
2TH.1.10,"yɛ̀ɛ à ri yù ɓi ŋwos anɛ̀n lɛ a kem̀ ɓi ɓum ɓii, ɓɛ ki sɛsɛg nyi rì mis ɓi ɓɛ̀roɓɛ ɓɛ gherɛ̀ngà nyi ɓɛ̀cèm; mìnii gherɛ̀ngà gì kɔm̀ ɓɔlɛ ànɛ tì kalìghà mìni."
