livre.chapitre.verset,Bafia
2TI.1.1,"Mɛ̀ Pol ànɛ ǹɗì ǹkɛ̀nì-fìtom a Yeesus Kiris lɛ rìkɔ̀n ɗi Bɛ̀ll, ɓi nkàg wu cɛɓ wu wu ri ɓi Yeesus Kiris, "
2TI.1.2,"ǹkàni Timote à man wɛm̀ à nɗem, Bɛ̀ll Seŋi wìs, rì Yeesus Kiris Kan wìs, ɓɛɛ fa wɔ̀ geesɛ̀n ɗì rìcenɛ̀n, rì fyòoog"
2TI.1.3,"Ǹfaa Bɛ̀ll ànɛ nkìki kisay ɓitògsɛ̀n; kìsay kiǹ, ki ri rìkɛ̀n ɗi beèbɛ̀y ɗì kìsay ki ɓɛ̀seŋi ɓɛ̀m ɓɛ ɓɛsɛ̀ɛ̀ ɓɛ kighà nyi; nkìki kɔ rì nɗem wu sɛɛghi sɛɛghi, fɔlɔɔ nnɛ ǹfɔli ɓi wɔ rìɓùŋ yɛ̀ɛ ìru yɛ̀ɛ ŋwos ɓi bɔ̀ŋzɛ̀n yɛm̀; "
2TI.1.4,ɓisuulɛ ǹti ǹ-yiìyìtì misì mɔɔ fɔɔnnɛ ǹɗì rì coo zày ìnɛ lɛ di màa ghɛɛ̀dii wɔ̀ fɔlɔɔ nnɛ ǹɗem wɛ̀m wɛɛ rongi rì kìnyàà lɛ pisa. 
2TI.1.5,"N-yiiyitì girig rìgherɛ̀n ɗi kɛ̀ɛ̀ ìghèy azi ɗi ɗi ri wɔ̀ ɓi nɗem, rìkuu ɗi righerɛ̀n ɗiǹ ɗyɛɛ̀ɗi gaa à ǹsɛ̀ɛ̀mɛn anɛ lɛ Lɔyis à ɓaghà rì ɗyɔ, Enis à jɛɛ wɔ̀ɔ̀ ri ɗyɔ, lɔŋ yɛ̀ɛ ǹɗem wɛ̀m wùcèm wu gherɛɛ lɛ ɗi ri girig fɔlɔɔ a lɔ̀ŋkɔɔ."
2TI.1.6,"Kìɓan kiǹ kɛɛ̀ki ǹtɔɔgh wɔ̀ lɛ, u lɔŋ̀zi tì ɗuu ɗi ɓi rìfa ɗi Bɛ̀ll ɗi ù tekà yɛ̀ɛ ǹsaghìghà wɔ̀ ɓyàg ɓi nyòò. "
2TI.1.7,"Lɛ àa ǹghay à kìɗyɔn innɛ Bɛ̀ll à faghà ɓìsi, lɔŋ ǹghay à ìtèɗ, rì ǹkɔ̀nɛ̀n rì ɗyomzɛ̀n innɛ à faghà. "
2TI.1.8,"Fɔɔnnɛ kɔ̀ɔ wog ntoòrìɗ lɛ u tɛɛ̀zi kìɓan ki Kan wìs, nsoò lɛ ki màànɛ ǹɗì kìmbùŋ ɓisu wii. Kìɓan kifog ɓi-tèɗ wu Bɛ̀ll, wogha rìkɛŋ ɓisuu Syeesyee à Ɓɔlɛ ǹɗaŋ ri mɛ̀, "
2TI.1.9,"Bɛ̀ll yɛɛ kweɗkà ɓìsi, à ki reŋi ɓisi ǹɗeèghreŋi wu wu ri wùtɛnɛn, àa ɓisuu mɛkìkìì mis, lɔŋ ɓisuu fèg wìì a nyimiɗ rì geesɛ̀n yìì inɛ à kìghà ɓìsi ɓi Yeesus Kiris; à kìghà kìɓan kiǹ di ɓyààmɛ̀n ɓi a rìtumɛ̀n ɓi ka yin. "
2TI.1.10,"Geesɛ̀n ìnɛn yɛ̀ɛ mɛ rèsɛn ɓigomìnɛ ɓi rìyù ɗi nkòrì wìs Yeesus Kiris ànɛ à ɓigtɛ̀ngà rì rìwu, à kpaŋzì lɛ rì cɛɓ rì rìɓa ɗi lɛ mum kɛ̀ɛ bwɛ̀y, ɓi kìtɛɛtɛn, ɓi bee ì Syeesyee à Ɓɔlɛ. "
2TI.1.11,Syeesyee à Ɓɔlɛ ànɛ̀n innɛ ɓɛ rɛsìghà mɛ̀ lɛ nlaàlamɓɛ̀n m̀ɓa ǹkɛ̀nì-fìtom rì ǹɗèsàg ànɛ miì. 
2TI.1.12,"Ɓisu wìn miì nnɛ nwowog mɛtɔɓ yɛ̀ɛ mɛ, wɔ̀lɛ ki faa ɓi mɛ ntoòrìɗ ɓisuulɛ ǹ-yii roànɛ ǹgherɛ̀ngà; ǹɗem wɛ̀m wùcèm wu yii saaɗ wu ki gherɛn lɛ à rì rì ìtèɗ wulɛ à ɓèŋ com ki à tɛfɛ̀ngà rì mɛ̀, à kpaŋ ŋwos anɛ̀n."
2TI.1.13,"Tera ɓɛ̀kɔɔ̀kɔɔ̀ ɓɛ ɓiɓan ɓɛ ù wokà a lɔ̀ŋkɛm̀, ɓɛɛ ɓa wɔ̀ kìrèmzɛnà ù ki sììrɛn ɓi ntyweeyi rì ǹkɔ̀nɛ̀n, ɓi tì rì rì ɓyɔ ɓi Yeesus Kiris ɓiɗùm. "
2TI.1.14,"Ɓèŋa syeesyee à rìrèsàg ànɛ ù rì rì nyi, rì nghɛɓsɛn wu Kitɛntɛ̀ɛ̀n ki Nghay ki ki ri ɓi ɓìsi."
2TI.1.15,"Ù yii lɛ ɓum ɓɛ̀cèm ɓɛ ɓɛ ri a Azii ɓɛ nagà mɛ̀, ɓumɓɛ lɛ rì Fizyɛl rì Ɛrimozyɛn ɓɛ ri ɓi bàlì ì ɓumɓɛ̀n. "
2TI.1.16,"Kan à ghɛ̀ɛ̀sɛɛ kì rèsii ǹɗem wii wu nyìinyìg ɓi naa ì ɓum ì Onezifɔɔr ɓisuulɛ ɓyaàmɛ̀n lɛɛ̀gwey, a fɔɔsag mɛ nɗem, kɛ̀ɛ wog ntoòrìɗ ri naà-zày ìnɛ ǹɗì miì. "
2TI.1.17,"Yɛ̀ɛ à kpagà a Rom, à ghagsɛ̀ngà mɛ̀ rì rìkaa, rì kìɗìg à ki ghɛn mɛ. "
2TI.1.18,"Kan à ghɛ̀ɛ̀sɛɛ kì kìi lɛ Bɛ̀ll a resi nyi kìrɔɔ-ǹɗem wìì ŋwos anɛ̀n. Ɓìsay ɓìcèm ɓi Onezifɔɔr à kìghà mɛ̀ a Efɛɛzɛ, wɔ̀ yɛɛ raŋ̀zii ɓyɔ kì yiì ù cee ɓum ɓɛ̀cèm."
2TI.2.1,"Nni wɔ̀ man wɛm̀, foŋa ìtèɗ ɓì geesɛ̀n ìnɛ ì rì ɓi Yeesus Kiris ɓi ɗùm. "
2TI.2.2,"Kìɓan ki ù wokà mɛ̀ di nkakàlì ɓi mis mɛ ɓɛwusìnɛ̀ɗ lɛɛ̀gwey, ghagsi kɔ rì ɓum ɓɛ ntyweeyi ɓɛ ɓɛ ri rì ìtèɗ wulɛ ɓɛ resàg girig ɓɛ̀ro ɓɛdɛŋ. "
