livre.chapitre.verset,Bafia
COL.1.1,"Mɛ̀ Pol ànɛ ǹɗì ǹkɛ̀nì-fìtom a Yeesus Kiris lɛ rìkɔ̀n ɗi Bɛ̀ll, rì Timote à geni wìs, "
COL.1.2,"tì kàni ɓɛ̀gherɛ̀n, rì ɓɔɔseŋi ɓis ɓɛ ɓi Kiris ɓɛ ɓɛ ri ɓum ɓɛ ntyweeyi, ɓɛ ɓɛ ri a Kolos. Bɛ̀ll à Seŋi wìs a fa mìni lɛ rì geesɛ̀n, rì fyòoog!"
COL.1.3,"Tì ti tì fafà Bɛ̀ll à Seŋi Kan wìs Yeesus Kiris ɓìtògsɛ̀n, di tì ɓɔ̀ɔɓɔ̀ŋzì Bɛ̀ll ɓisu win, tyɛ̀ ki fɔy. "
COL.1.4,"Lɛ tìi nwoogh di ɓɛɛ kpaakpaa lɛ, mìnii ri rì ǹtyweeyi ɓi Yeesus Kiris lɛɛ̀gwey, mìnii ki ɓa ri geesɛ̀n ɓi san ànɛ a ɓɛ̀gherɛ̀n ɓɛ̀cèm, "
COL.1.5,"ɓisuu dyàɓɛn yiǹ ìnɛ ì ɓoŋɓoŋi mìni aɗyoo. Dyàɓɛn incèm yɛ̀ɛnɛ jɛ̀ɛ̀ ìnɛ ì rì jɛ̀ɛ̀ ì kɔɔ̀kɔɔ̀ à kìɓan, jɛ̀ɛ̀ ì Syeesyee à Ɓɔlɛ, ì wogsìghà mìni abɛ̀y. "
COL.1.6,"Syeesyee à Ɓɔlɛ ànɛ̀n à kpagà foo a lɔ̀ŋkin fɛlɛ yɛ̀ɛ a wumwum ɓiɗùn à kɛ̀nkɛ̀n asu ɗì rìsààsàà zi bimiɗ; fɔlɔɔ nnɛ a kìki girig ɓi nyìinyìm wìn à tumɛ̀n ŋwos anɛ ɓì wokà, ɓì ki yi yɛ̀ɛ geesɛ̀n ì Bɛ̀ll ì rì a tààkaà, "
COL.1.7,lɔŋ yɛ̀ɛ Epafiras ànɛ à rì reŋkàŋ wìs a nɗem ànɛ ti kìki kisay ri nyi à rèsìghà mìni; à rì ǹkìì-kìsay a Kiris à ntyweeyi ɓisu wìn. 
COL.1.8,À kpaaghà ɓìsi rìkuu ɗi nkɔ̀nɛ̀n ɗi Ǹghay à faghà mìni. 
COL.1.9,"Kìɓan kiǹ kɛɛ̀ki ɓìsi girig, à tumɛ̀n ŋwos anɛ tì wokà fɔlɔɔ, tì fɔli ɓi riɓɔ̀ŋzì ɗi Bɛ̀ll ɓisu win, tì tɔtɔ̀g lɛ, a roòzi mìni rì rìyi ɗi ɓiɓan ɓi ɓyɛɛ̀ kɔ̀ngi nyi, à fa mìni ɗyomzɛ̀n ɗìcèm, rì syeesyee à rìwog ànɛ ɓi Nghay wìì. "
COL.1.10,"Fɔɔnnɛ ghɛɓina cɛɓ ki kɛɛ̀ kɔ̀ngi Kan, ɓì kìkì ɓìɓan ɓi ɓi ri lɛ ɓi puɓsì nyi nɗem cààmɛ̀n kìcèm. Wumina ɓìɗùn ɓi ɓyɛɛ ghɛnɛn ɓi mɛ̀kìkìì mɛ syeesyee mɛ̀kuu mɛ̀kuu, ɓì ki tɔɔtɔɔ ɓi rìyi ɗi ɓì yii Bɛ̀ll. "
COL.1.11,"Ɓaana rì ìtèɗ, ɓɛ̀ɓɛg ɓɛ̀cèm, ìtèɗ win wu ɓa wu ɓi rìkem ɗii, fɔɔnnɛ ɓì ɓiì ɓaà rì kìsììrì, ɓì ki yi rinìɗ ɗi nɗem lɛ kɔɔ̀kɔɔ̀. "
COL.1.12,"Faana Bɛ̀ll à Seŋi wìs ɓìtògsɛ̀n ɗì kìnyàà; lɛ nnyɛɛ kighà com ki lɛ, ɓi ɓa rì gàɓ ɓi ɓìrɔɔ ɓi ɓi ri ɓì pègsɛn ɓisuu ɓɛgherɛ̀n ɓi kìtɛɛtɛn ɓiɗùm. "
COL.1.13,"À kwèɗkà ɓìsi ɓi rìkpàn ɗi mɛtèɗ mɛ birìm, à ceesì ɓìsi ɓi kìlɔ̀ŋ ki Man wiì à ǹɗem, "
COL.1.14,"ànɛ tì rì ɓɛ̀kòrɛn lɛ nyi, ɓìɓe ɓis ɓi ki ɓa ɓi cenɛn. "
COL.1.15,"À rì kìfèèghrɛnà ki Bɛ̀ll ànɛ ɓum ɓɛ ghɛɛ ɓi, nyi tì Man à ǹtonto ànɛ ɓi ɓyom ɓìcèm ɓi Bɛ̀ll à kìghà. "
COL.1.16,"Ɓisuulɛ rì nyi nnɛ Bɛ̀ll à kìghà ɓyom ɓìcèm, lɛ rì aɗyoo, rì ɓi ziinɛ; ɓyom ɓi ɓɛɛ̀ seesèè, rì ɓi ɓɛ ghɛɛ ɓi, mɛ̀tèɗ mɛ mɛghay, rì mɛ̀làmì, rì mɛ̀tèɗ mɛm̀bog. Bɛ̀ll à kìghà ɓyom ɓìcèm rì nyi, rì ɓisu wìì.  "
COL.1.17,"Nnyɛɛ lokà kì ɓaà rì ɓyom ɓìcèm, fɔɔnnɛ ɓyom ɓìcèm ɓi rɛrɛlii lɛ nyi. "
COL.1.18,"Nnyɛɛ ri nto wu ɓi nyoo ìnɛ ì rì lɛ kìseŋi kii; nnyɛɛ ri rìtumɛ̀n, à ki ɓa ti man à ǹtonto ànɛ à lokà kìghèmɓɛɛ a ɓìloŋ lɛ di a ɓa beèbɛ̀y ɓi ɓìɓan ɓìcèm. "
COL.1.19,"Ɓisuulɛ ki kɔngà Bɛ̀ll lɛ a kɔri ɓi nyi, à rongì ɓi nyi lɛ kɔɔ̀kɔɔ̀. "
COL.1.20,"À ki kì lɛ ɓyom ɓìcèm ɓi ɓi ziinɛ, nsoò lɛ ɓi aɗyoo, ɓyɛɛ rarɛn tì rì nyi lɛ Man wiì, yɛ̀ɛ à kìghà lɛ fyòoog a ɓa lɛ bwaɓ yi Man ànɛ̀n yi yi kpagà ɓi kɔrɔs."
COL.1.21,"Fɔɔnnɛ mìni ɓɛ ɓì ɓaghà abɛ̀y ɓɛ̀ ràɓsɛn ri Bɛ̀ll, ɓì ki ɓa ɓɛ̀bènàbena ɓii, lɛ ɓìɓeɓtàg ɓi ɓiɓan ɓi ɓì kìkìghà, "
COL.1.22,"ɓi cààmɛ̀n ki, lɛ rìwu ɗi Man wiì à wughà ɓi nyoo yìì i mɛ̀mùù, Bɛ̀ll à mɛ pɛ̀ɛ̀zi mini kì ràri ɗi nyimiɗ, lɛ di a ki com ki lɛ ɓi kpaŋ ɓi mis mii ɓɛtɛnɛn, kɛ̀ɛ̀ zɛ̀ɗ, kɛ̀ɛ̀ bɛ̀lɛn. "
COL.1.23,"Kìɓan kifog, ki ghɛɛ̀sɛɛ lɛ, ɓi ɓeŋ̀ rìgherɛ̀n, ɓì sììrɛ̀n, ɓì ki rɛli lɛ kpegkpeg, kɛ̀ ɓi càrɛn lɛ ɓɛɛ syoŋ mìni fìràɓ ɗi dyàɓɛn ìnɛ ɓì rì rì yɔ̀ ɓi Syeesyee à Ɓɔlɛ ànɛ ɓì wokà. Syeesyee à Ɓɔlɛ ànɛ̀n yɛɛ kalɛ̀ngà a ɓum ɓɛ̀cèm ɓɛ ɓɛ ri ɓi ɗyoo azi; innɛ mɛ̀ Pol ǹti ǹkìì-kìsay anɛ miì."
