livre.chapitre.verset,Bafia
EPH.1.1,"Mɛ̀ Pol, ànɛ ǹɗì ǹkɛ̀nì-fìtom a Yeesus Kiris lɛ rìkɔ̀n ɗi Bɛ̀ll, mɛ̀ yɛɛ kani ɓumɓɛ Bɛ̀ll rì ɓɛ̀gherɛ̀n ɓɛ ɓɛ ri ɓɛ̀falɛn ɓi Kiris Yeesus a Efɛɛzɛ. "
EPH.1.2,Bɛ̀ll à Seŋi wìs ɓɛɛ̀ Kan Yeesus Kiris ɓɛɛ fa mìni geesɛ̀n rì fyòoog.
EPH.1.3,"Rìkem ɗyɛɛ ɓa rì Bɛ̀ll à Seŋi Kan wìs Yeesus Kiris, ànɛ à màgà ɓìsi ɓi rìɓa ɗis ɗi tì rì ɓɛ̀ ràrɛn ɗi Kiris, yɛ̀ɛ à faghà ɓìsi ɓɛ̀mààgh ɓɛ nghay ɓɛ̀cèm ɓi ɗyoo ɓi ɗùm. "
EPH.1.4,"Ɓi Kiris, Bɛ̀ll à ɓɔ̀ngà ɓìsi di ziinɛ ì ka kilɛn ɓi, lɛ ti ɓa ɓɛ̀tɛnɛn, kɛ̀ɛ̀ kìɓan ki lɛ ɓɛ fen ɓi mis mii. Ɓi nkɔ̀nɛ̀n wìì, "
EPH.1.5,"Bɛ̀ll à lokà kì rèni lɛ à ɓiì kìi lɛ, ti ɓa ɓɔn ɓii lɛ Yeesus Kiris. Ki kɔngà nyi lɛ a ki kìɓan kiǹ lɛ ki rɔɔghà nyi fɔlɔɔ, "
EPH.1.6,lɛ a nyaàsì rìkem ɗi geesɛ̀n yìì inɛ à kìghà ɓìsi ɓi Man wiì à nɗem. 
EPH.1.7,"Ɓi Man ànɛ̀n, tì ti ɓɛ̀kòrɛn ri bwaɓ yii, ɓìɓe ɓis ɓi ɓa ɓìcàrɛn lɔŋ lɛ coo itègh wu geesɛ̀n ì Bɛ̀ll, "
EPH.1.8,"ìnɛ à rèsìghà ɓìsi lɛɛ̀gwey, yɛ̀ɛ à kìghà lɛ ti ɓa rì ɗyomzɛ̀n, tì ki ɓa ri syeesyee à fèg. "
EPH.1.9,"À kpàkàkà ɓìsi dwìɗ i rìkɔ̀n ɗii ɗi a rìnyam, ɓi kìɓan ki nɗem wii wu lokà kì renì lɛ à kìi gɛ ɓi Kiris. "
EPH.1.10,"Kìɓan kiǹ, Bɛ̀ll à ɓiì ràtɛɛ kɔ kì kìi, di cààmɛ̀n ki mɛ ghɛ̀ɛ̀sɛ̀n; à taŋzɛ̀n ɓyom ɓìcèm ɓi ɓi ri aɗyoo, rì ɓi ɓi ziinɛ lɛ ɓyɛɛ ɓa rìfòm ɗifog lɛ Kiris. "
