livre.chapitre.verset,Bafia
HEB.1.1,"Ɓi mɛ̀ru mɛ ajɛ̀m, Bɛ̀ll à tòòghrɛ̀ngà rì ɓɛ̀seŋi ɓis gɛ̀n lɛɛ̀gwey, bee lɛ bee ɓi ŋwɔm wu ɓɛkpaŋzì-ɓìɓan, "
HEB.1.2,"nni ɓi mɛ̀ru mɛ siitòn mɛ, àa ntòòghrɛɛ rì ɓìsi ɓi ŋwɔm wu Man wiì, man ànɛ̀n innɛ à rɛsìghà lɛ a teɗ ɓìɓan ɓicèm; rì nyi nnɛ Bɛ̀ll à kìghà lɛ rì ɗyoo rì zi. "
HEB.1.3,"Man ànɛ̀n à rì cììghziŋ ki rikem ɗi Bɛ̀ll, à ɓa tì syeesyee à kìfèèghrɛnà ki ɓi rìɓa ɗi yɛ̀ɛ Bɛ̀ll à rì, à lènlemi ɓyom ɓìcèm rì jɛ̀ɛ̀ yìì inɛ ì rì rì ìtèɗ. Yɛ̀ɛ à lègsìghà zòghɛ̀n ìnɛ ɓi ɓìɓe ɓi ɓum, fɔɔnnɛ à kɔ̀rìghà ɓi ɗyoo ɓiɗùm, ɓi weèlem à Bɛ̀ll ànɛ à làŋi mɛ̀tèɗ mɛcèm."
HEB.1.4,"Man à Bɛ̀ll à mɛ cee ɓum ɓɛ titom lèg ànɛ lɛ, Bɛ̀ll à mɛ fa nyi ɗii ɗi ɗi laŋi ɗi nkaa. "
HEB.1.5,"Ɓisuulɛ Bɛ̀ll à ka kpaaghà ɓi ŋwaà fìtom adɛŋ lɛ: Ù rì Man wɛm̀, à tumɛ̀n gɛɛ̀nɛ, ǹti soŋì, nsoò lɛ: Mɛ̀ ǹɗì nyi ɓiì ɓaà Seŋi, nyii ɓa mɛ̀ Man."
HEB.1.6,"Wɔ̀lɛ, Bɛ̀ll à ɓaghà à ti ɓiì romìì Man à ǹtonto wiì ɓi ziinɛ, à kpaa lɛ: Ɓum ɓɛ titom ɓɛ Bɛ̀ll ɓɛ̀cèm ɓɛ ghɛɛ̀sɛɛ nyi kì ɓɔgsii."
HEB.1.7,"Ɓi ɓɛg ànɛ a ɓum ɓɛ titom, à kpaaghà lɛ: Bɛ̀ll a kìlag lɛ: À ghaasì ɓum ɓii ɓɛ titom bɛ̀ɓ, à ki ghaasi ɓɛ̀kìì-ɓìsay ɓii nɗoò wu ɗuu."
HEB.1.8,"Wɔ̀lɛ ɓi ɓɛg ànɛ yɛ̀ɛ Man, à kpaa lɛ: wɔ̀ Bɛ̀ll ìkɔ̀ɔ̀ wɔɔ wu rilàmì wu ri fiɗyàɓ fikɔ̀ɔ̀, kìgeŋ kɔɔ ki rilàmì, ki ri kìgeŋ ki rilàmì ɗi saaɗ."
HEB.1.9,"Ù keesìghà saaɗ, ù ɓèèzɛ̀n kìɓe kìɓan kiǹ kɛɛ̀ki wɔ̀ Bɛ̀ll, Bɛ̀ll wɔ̀ɔ̀ a mɛ ɓɔ̀n wɔ, à siŋì wɔ̀ mɔ̀ɔ mɛ nnyaasɛ̀n à càɗ ɓɛ̀roŋkàŋ."
HEB.1.10,"À kpaatìghà lɛ: Kan, wɔ̀ yɛɛ kighà zi a rìtumɛ̀n, nsoò ɗyoo ɗi ri girig kìsay ki ɓyàg ɓyɔɔ ɓyɛɛ kiì."
