livre.chapitre.verset,Bafia
JAS.1.1,"Mɛ̀ Zyag, ànɛ ǹɗì Ǹkìì-kìsay a Bɛ̀ll rì à Kan Yeesus Kiris, ǹkàni mɛ̀pwìɗ mɛ Isirayɛl, ǹtɛ̀ɗ ɗì mɛɓɛɛ̀ mɛ mɛ saàtɛ̀ngà zi bimiɗ. Ǹtògsii yàà!"
JAS.1.2,"Mìni ɓɛ̀geni ɓɛ̀m, terina mɛ̀kuu mɛ mɛtɔɓ mɛ̀cèm mɛ ɓì rì lɛ ɓì tulɛ̀n rì mɔ lɛ mɛ ri kìɓan ki kinyàà ki kɔɔ̀kɔɔ̀, "
JAS.1.3,"ɓì ki yi lɛ, cààmɛ̀n kìcèm ki rìgherɛ̀n ɗin ɗi tulɛɛ rì mɛ̀fèèghrɛn, ki ri ɓiì kìi lɛ ɓi ɓa rì kìnìri ki nɗem; "
JAS.1.4,"kìɓan kifog, ki ghɛɛ̀sɛɛ lɛ rìnìɗ ɗin ɗi nɗem ɗyɛɛ ki ɓìɓan ɓi ɓi rɔɔtɛɛ lɛ kɔɔ̀kɔɔ̀, di fɔlɔɔ nnɛ ɓi ɓa ɓumɓɛ ɓɛ kii lɛ, ɓɔ kɛ̀ɛ̀ bɛ̀lɛn nsoò bog, ɓɛ ki ɓa ɓɛronɛn ɗi ɓìɓan ɓìcèm, com ki ki kaarɛ̀n ɓɔ, kɛ̀ kɛɛ̀ ɓa."
JAS.1.5,"I ŋwaàdɛŋ ànɛ ɓi mìni à kaarɛɛ ɗyomzɛ̀n, a tɔg ɗyɔ rì Bɛ̀ll ànɛ à ti à falàg ɓum ɓɛ̀cèm ɗyomzɛ̀n zɛy rì zɛy, rì syeesyee à nɗem, fɔɔnnɛ àrì nyi ɗyɔ ɓiì faà; "
JAS.1.6,"kìɓan kifog, à ghɛ̀ɛ̀sɛɛ ɗyɔ kìlɔnì rì ǹtyweeyi kɛ̀ɛ ɓa ri nyoey; ɓisuulɛ ŋwaànɛ à rì rì nyoey à pisɛɛ ɓìkus ɓi riɓày ɓi bɛ̀ɓ yɛɛ̀ nyɛ̀ɛnyɛŋ̀zì di yɛɛ̀ ɓɔɔɓɔgsì aɗyoo. "
JAS.1.7,Rìkuu ɗi mum ɗìn ɗyɛ̀ kɛɛ̀ fèg ɓi nɗem lɛ ɗi ri ɓiì terì com kidɛŋ yɛ̀ɛ Kan. 
JAS.1.8,Ŋwaànɛ fɔlɔɔ a rì kɛ̀ɛ̀ bimiɗ à nɗɛli anɛ à sììrɛɛ miì ɓi ɓìɓan ɓii ɓìcèm.
JAS.1.9,"Maaseŋi wìn a rìgherɛ̀n ànɛ à rì soghàsogha, a nyaàrɛn ɗì rìpɛ̀sì ɗi Bɛ̀ll à pɛ̀sii nyi aɗyòò. "
JAS.1.10,"Wɔ̀lɛ guŋgum nyii ghɛɛ̀sɛɛ kì nyààrɛɛ ri rìsɛɛ̀dì ɗi Bɛ̀ll à sɛɛ̀dii nyi, ɓisuulɛ à rì ɓiì ghaghii yɛ̀ɛ kìsàmà ki caaɓi. "
JAS.1.11,"Ŋwos a pɛ̀sɛ̀n yì rì rìtɔ̀n ɗii ɗi syàn, à kì lɛ caaɓi kɛɛ womdag, kìsàmà ki caaɓi kiǹ ki kpi, kìrɔɔ ki kɔ ɓɛ̀ kɛɛ̀ ghɛɛ̀di. Fɔlɔɔ nnɛ guŋgum a rì ɓiì wom̀daagh ɓi ɓìɓan ɓìcèm ɓi a kìkì."
JAS.1.12,"Mààgh rì ŋwaànɛ à ti à nìɗkì nɗem di à tulɛɛ rì mɛ̀fèèghrɛn; ɓisuulɛ i à mɛ ghɛn mɛfèèghrɛn fɔlɔɔ, à rì ɓiì terì tàm à cɛɓ ànɛ Kan à kàkà ɓumɓɛ ɓɛ ti ɓɛ keesàg nyi."
JAS.1.13,"Mum kɛ̀ɛ kì lɛ i à rì ɓi mɛ̀fèèghrɛn, a kpaa lɛ Bɛ̀ll yɛɛ̀ fèeghfeèghrɛ̀n mɛ̀. Ɓisuulɛ Bɛ̀ll à yin lɛ kìɓe ki fèèghrɛ̀n nyi, nyimiɗ kɛ̀ɛ ki fèèghrɛn mum. "
