livre.chapitre.verset,Bafia
JHN.1.1,"A rìtumɛ̀n, Jɛ̀ɛ̀ ì ɓaghà, nni Jɛ̀ɛ̀ ì ɓaghà ɓɛɛ̀ Bɛ̀ll, Jɛ̀ɛ̀ ì ki ɓaghà Bɛ̀ll. "
JHN.1.2,I ɓaghà ɓɛɛ̀ Bɛ̀ll a rìtumɛ̀n. 
JHN.1.3,"Jɛ̀ɛ̀ ìnɛn yɛ̀ɛ kighà ɓyom ɓìcèm, nni ɓi ɓyom ɓi ɓi kilɛ̀ngà, kidɛŋ ki kilɛ̀ngà ɓi kɛ̀ɛ̀ yɔ̀. "
JHN.1.4,"Cɛɓ ki ɓaghà ɓi Jɛ̀ɛ̀ ìnɛn, cɛɓ kìn ki ki fafa ɓum kìtɛɛtɛn. "
JHN.1.5,"Kìtɛɛtɛn ki lomlòm ɓi birìm, birìm yɛ̀ kɛɛ̀ ki teɗ kɔ. "
JHN.1.6,Bɛ̀ll à romgày ŋwaàdɛŋ ɗii lɛ Zyaŋ. 
JHN.1.7,Nnyɛɛ yughày fɛlɛ yɛ̀ɛ wusìnɛ̀ɗ à kìtɛɛtɛn lɛ di ɓum ɓɛɛ gherɛn lɛ rìkpaa ɗii. 
JHN.1.8,"Nyii ɓaghà ɓi kitɛɛtɛn, kìɓan kifog à yùghày lɛ a kpaà ɓum kìɓan ki kitɛɛtɛn. "
JHN.1.9,"Jɛ̀ɛ̀ ìnɛn ì ɓaghà kɔɔ̀kɔɔ̀ à kìtɛɛtɛn, ki ki yughà ɓi ziinɛ lɛ kɛɛ kpeŋzi ɓum ɓɛ̀cèm. "
JHN.1.10,"Jɛ̀ɛ̀ ì ɓaghà ɓi ziinɛ, yɛ̀ɛ ki kìghà ziinɛ, wɔ̀lɛ ziinɛ ì yitìghà ɓi yɔ̀. "
JHN.1.11,"Ì yughà a ɓum ɓii, ɓum ɓii ɓɛ̀ kɛɛ̀ ki ghàɓ yɔ̀; "
JHN.1.12,"wɔ̀lɛ ì faghà ɓum ɓɛ̀cèm ɓɛ ɓɛ ghaɓkà kɔ, ɓɛ gherɛ̀n ɗii ɗi yɔ̀, ìtèɗ wulɛ ɓɛɛ ɓa ɓɔn ɓɛ Bɛ̀ll. "
JHN.1.13,"Ɓumɓɛ̀n ɓɛ ghalà ɓi ɓɔn ɓɛ Bɛ̀ll rì nyoo ì mɛ̀mùù fɛlɛ yɛ̀ɛ ɓɔn ɓɛ ɓum ɓɛɛ̀ yalàg, lɔŋ Bɛ̀ll yɛɛ faghà ɓɔ cɛɓ ki nyɔn."
JHN.1.14,"Fɔɔnnɛ jɛ̀ɛ̀ ì ghalà mum ànɛ à ghɛɓkà ɓi nyìinyìm wìs, ǹɗonɛn, rì geesɛ̀n, rì saaɗ, tì ki ghɛngà rìkem ɗii, rìkem ɗìn ɗi ki ɓa ɗi mbobog à Man ànɛ à pɛ̀sɛ̀ngày yɛ̀ɛ Seŋì. "
JHN.1.15,"Zyaŋ à rɛlìghà wusìnɛ̀ɗ ànɛ ɓi kìɓan kii, à làmɓɛ̀n lɛ: Nnyɛɛ ri ŋwaànɛ ǹkpaaghà mìni lɛ: Roànɛ à rìì mɛ̀ ajɛ̀m, à lokày rì mɛ̀, ɓisuulɛ nyii ɓaghà di mɛ̀ ǹka yin. "
JHN.1.16,"Ɓìsiìcèm tì mɛ teɗ ɓɛmààgh ɓɛ ɓi rìɓa ɗii ɗi à rì ǹɗonɛn, à saàsàgtàg ɓìsi geesɛ̀n. "
JHN.1.17,"Ɓisuulɛ, ɓìdɔ̀gsɛna ɓi falɛ̀ngà rì Moyis, geesɛ̀n rì saaɗ ɓi yuiy rì Yeesus Kiris. "
JHN.1.18,"Mum à ka ghɛngà ɓi Bɛ̀ll, lɔŋ m̀bobog à Man à Bɛ̀ll ànɛ à rì jàŋbog rì Seŋi yɛɛ kighà lɛ ɓɛɛ yi nyi."
JHN.1.19,Fɛlɛ nnɛ Zyaŋ à kpaaghà yɛ̀ɛ Ɓɛ̀yudɛ̀n ɓɛ a Yorisalɛm ɓɛ romgày ɓɛ̀pìrɛɛtìrɛ̀ rì ɓɛ̀levìt lɛ ɓɛɛ tɔg nyi lɛ: Wɔ̀ɔ̀ rì ghɛn? 
JHN.1.20,"À gherɛ̀ngà kɛ̀ɛ pwàà, à gherɛ̀n, à kpaa lɛ: Mɛ̀ ǹ-yin Kiris."
JHN.1.21,Nni ɓɛ tɔkà nyi lɛ: Wɔ̀ɔ̀ rì min ghɛn? Wɔ̀ yɛɛ ri Eli gìn? Zyaŋ à ɓàg lɛ: Èe èe. Ù rì ǹkpaŋzì-ɓìɓan anɛ̀n?  Zyaŋ lɛ: Àg. 
JHN.1.22,Fɔɔnnɛ ɓɛ tɔkà nyi lɛ: Wɔ̀ɔ̀ ki rì min ghɛn? Tì ghɛ̀ɛ̀sɛɛ kì sugtii ki kpaà ɓumɓɛ ɓaa romiì ɓìsi rìɓàg. Wɛ̀ɛmiɗ kali ɓìsi! Wɔ̀ɔ̀ rì ghɛn? 
JHN.1.23,"Nni Zyaŋ à ɓàkà lɛ: Mɛ̀ ǹɗì jɛ̀ɛ̀ ì roànɛ a làalam̀ɓɛ̀n ɓi-reɓ lɛ pègsɛɛna bee ì Kan, lɔŋ yɛ̀ɛ ǹkpaŋzì-ɓìɓan Ezayii à kpaaghà."
JHN.1.24,"Ɓumɓɛ ɓɛ romgày ɓɛǹ yɛ̀ɛ Zyaŋ, ɓɛ ɓaghà Ɓɛ̀fàrìzyɛŋ. "
JHN.1.25,"Nni ɓɛ tɔgtìghà nyi lɛ: I wɔ̀ ki yin Kiris, nsoò lɛ Eli, nsoò ǹkpaŋzì-ɓìɓan, ɓisuucɛ nnɛ u ɓàaɓaɓtì ɓum? Zyaŋ à ɓàg ɓɔ lɛ: "
JHN.1.26,"Mɛ̀ɛ mɓàaɓaɓtì ɓum rì mɛ̀nig, kìɓan kifog ŋwaàdɛŋ à rì foo ɓi nyìinyìm wìn, ànɛ ɓì yii ɓi; nyi yɛɛ riì mɛ̀ ajɛ̀m. "
