livre.chapitre.verset,Bafia
MAT.1.1,"Rìfuu yì ɗi Yeesus Kiris man à Davit, man à Abiraham ɗi ri fɛlɛ: "
MAT.1.2,"Abiraham à yalà Isag, Isag à yay Yakɔɓ, Yakɔɓ à yay lɛ, rì Zyuda rì ɓɛ̀geni ɓii; "
MAT.1.3,"Zyuda à yay lɛ rì Farɛs rì Zara ɓɛɛ̀ Tamaar, Farɛs à yay Ɛsirɔm, Ɛsirɔm à yay Aram; "
MAT.1.4,"Aram à yay Aminadaɓ, Aminadaɓ à yay Naasɔn, Naasɔn à yay Salmɔn "
MAT.1.5,"Salmɔn ɓɛɛ̀ Rahaɓ ɓɛ yay Boas, Boas ɓɛɛ̀ Rut ɓɛ yay Oɓɛɛɗ, Oɓɛɛɗ à yay Isayii. "
MAT.1.6,Isayii à yay rìfòm ɗi lɛ Davit; rìfòm ɗi lɛ Davit ɗi yay Salomɔŋ ɓɛɛ̀ gili Ùrì; 
MAT.1.7,"Salomɔŋ à yay Roɓwam, Roɓwam à yay Aɓya, Aɓya à yay Asa; "
MAT.1.8,"Asa à yay Yosafat, Yosafat à yay Zyoram, Zyoram à yay Ozyas; "
MAT.1.9,"Ozyas à yay Zyoatam, Zyoatam à yay Akas, Akas à yay Ezekyas; "
MAT.1.10,"Ezekyas à yay Manase, Manase à yay Amɔn, Amɔn à yay Yozyas. "
MAT.1.11,"Yozyas à yay lɛ, rì Yekonyas rì ɓɛ̀geni ɓii, ɓi cààmɛ̀n ki ɓɛ kɛngà rì ɓɔn ɓɛ Isirayɛl a Baɓilon. "
MAT.1.12,Ajɛ̀m ì rìkɛ̀n ɗi rì Isirayɛl ɗiǹ a Baɓilon nnɛ Yekonyas à yali Salatyɛl; Salatyɛl à yay Zoroɓaɓɛl; 
MAT.1.13,"Zoroɓaɓɛl à yay Aɓyud, Aɓyud à yay Elyakim, Elyakim à yay Azɔɔr; "
MAT.1.14,"Azɔɔr à yay Saɗɔg, Saɗɔg à yay Akim, Akim à yay Elyud. "
MAT.1.15,"Elyud à yay Eleyazaar, Eleyazaar à yay Mataŋ, Mataŋ à yay Yakɔɓ; "
MAT.1.16,Yakɔɓ à yay Yoosɛɓ à yii Marii ànɛ à yalà Yeesus ànɛ ɓɛɛ̀ regi lɛ Kiris. 
MAT.1.17,"À tumɛ̀n ɓi Abiraham à kpaŋ ɓi Davit gbàà yi ɓum yi ri yɛɛlɔɔ ǹtɛ̀ɗ ɗì yiniǹ; à pɛ̀sɛ̀n ɓi Davit à kpaŋ ɓi rìkɛ̀n ɗi rì Isirayɛl a Baɓilon, gbàà yi ɓum ǹtɛ̀ɗ ɗì yiniǹ; à tumɛ̀n ɓi cààmɛ̀n kiǹ à kpaŋ ɓi rìyalɛ̀n ɗi Kiris, gbàà yi ɓum ǹtɛ̀ɗ ɗì yiniǹ."
