livre.chapitre.verset,Bafia
MRK.1.1,Rìtumɛ̀n ɗi Syeesyee à Ɓɔlɛ à Yeesus Kiris Man à Bɛ̀ll. 
MRK.1.2,"Fɛlɛ yɛ̀ɛ ki ri kìkànɛn ɓi kaàtà à ǹkpaŋzì-ɓìɓan Ezayii lɛ: Ghɛna, ǹɗomi wɔ̀ mum Wɛm̀ à fìtom beèbɛ̀y, lɛ a pegsɛn wɔ̀ bee."
MRK.1.3,Jɛ̀ɛ̀ ìnɛ ìrì jɛ̀ɛ̀ ì roànɛ a làalamɓɛ̀n yì ɓi-reɓ lɛ: pègsɛɛna bee yi Kan ɓi rɛsàg yɔ lɛ saaɗ.
MRK.1.4,"Nni Zyaŋ à peeghày ɓi-reɓ, à ɓààɓàɓtì ɓum à ki làalamɓɛ̀n lɛ, ɓum, ɓɛɛ ɓɛɛ lɔɔ̀ghrɛn mɛ̀rem, ɓɛ̀ ɓaɓtɛ̀n, fɔɔnnɛ Bɛ̀ll a cenɛn mìni ɓìɓe ɓyaa. "
MRK.1.5,"Ɓum ɓɛ̀cèm ɓɛ ɓi ziì Zyude, rì ɓɛ a Yorisalɛm, ɓɛ pɛɛ̀pɛ̀sɛ̀ngày di ɓɛɛ̀ yùyuiy a lɔ̀ŋkii, nyii ki ɓàaɓaɓtì ɓɔ ɓi ǹsyòm wulɛ Zyuridɛŋ, di ɓɛ mɛ kpàki ɓiɓe ɓyaa. "
MRK.1.6,"Zyaŋ à ɓaghà ri kìlàà ki ɓɛ tiŋi ri nyùŋ yi syàmoo, à ŋirɛ̀n kànɗa à gòò ɓi kìɓon, à ki ɗiɗi lɛ, rì ɓìtàtàɗ, rì mɔ̀ɔ mɛ ilòò wu ɓɛ pisii yì ɓi cog. "
MRK.1.7,"A kakàlìghà ɓum lɛ: Roànɛ à rìì mɛ̀ ajɛ̀m, à cee mɛ̀ ɓi-tèɗ, ǹkpaŋi ɓi ɓi ǹkoŋ wulɛ ǹlaŋi, ǹfùmì mɛ̀ɗig mii mɛ gòò. "
MRK.1.8,"Mɛ̀, m̀bàɓtii mìni rì mɛ̀nig, kìɓan kifog nyii ri mìni ɓiì ɓàɓtii ri Kìtɛntɛ̀ɛ̀n ki Nghày."
MRK.1.9,"Lɔŋ ɓi mɛ̀ru mɛ̀n, Yeesus à pɛsɛngày a Naazarɛt, ɓi kiden ki zi ki a Galile à yùy, Zyaŋ à ki ɓàɓti nyi ɓi Zyuridɛŋ. "
MRK.1.10,"Yɛ̀ɛ Yeesus à kpaŋkpàŋgày ɓi mɛ̀nig, nni à ghɛngà di ɗyoo ɗi nɛmɓɛɛ, Kìtɛntɛ̀ɛ̀n ki Nghay ki sɛnsɛ̀n yì nyi ɓi nyoo fɛ lɛ yɛ̀ɛ kuùkuù. "
