livre.chapitre.verset,Bafia
PHM.1.1,"Mɛ̀ Pol ànɛ ǹɗì kìmbùŋ ɓisuu Yeesus Kiris ɓɛɛ̀ geni wɛ̀m ànɛ lɛ Timote, ɓìsi yɛɛ kani lɛ rì Filemɔŋ à reŋkàŋ wìs a ǹɗem, ànɛ ti kìki kisay kifog rì nyi, "
PHM.1.2,"rì geni wìs a giɓ anɛ lɛ Apya, rì reŋkàŋ wìs anɛ lɛ Arisip ànɛ ti ɗùùɗuu nɗaŋ ɗi nyi, rì Kìseŋi ki Kiris ki ki ti ki taŋzàg ɓi naa yɔ̀ɔ̀. "
PHM.1.3,Bɛ̀ll à Seŋi wìs rì Kan Yeesus Kiris ɓɛɛ fa mìni lɛ rì geesɛ̀n rì fyòoog.
PHM.1.4,"Ǹti ǹfafà Bɛ̀ll wɛ̀m ɓìtògsɛ̀n cààmɛ̀n kìcèm, ǹki yiiyitì wɔ̀ ɓi bɔ̀ŋzɛ̀n yɛm̀, "
PHM.1.5,"lɛ ǹti ǹwowòg di ɓɛɛ̀ kpaakpaa nkɔ̀nɛ̀n, rì ntyweeyi, ɓi u rèresi ɓi san ànɛ yɛ̀ɛ Kan Yeesus rì ɓisuu ɓɛgherɛ̀n ɓɛ̀cèm. "
PHM.1.6,"Ǹti ǹtɔkì nyi lɛ, rìɓa ɗi ù rì ǹɗàrɛn ri ɓìsi ɓi rìgherɛ̀n ɗyɛɛ ki lɛ u konag kì yiì kìrɔɔ kìcèm ki tì rì rì kɔ ɓi cɛɓ ki ti ghɛghɛɓ nɗaŋ ri Kiris. "
PHM.1.7,"Lɛ mɛ̀ɛ nwoogh kìnyàà lɛɛ̀gwey nɗem wu ki kpì mɛ ɓi ɗùm lɛ ǹkɔ̀nɛ̀n ànɛ ù rì rì nyi; ɓisuulɛ mɛ̀rem mɛ ɓɛgherɛ̀n mɛ mmaa lɛ fyòoog lɛ kìsay kɔɔ, geni wɛ̀m."
PHM.1.8,"Kìɓan kiǹ kɛɛ̀ki, nsoò yɛ̀ɛ Kiris à mɛ fa mɛ ìtèɗ lɛɛ̀gwey lɛ nsiŋdɛn wɔ̀ ɓìɓan ɓi ù ghɛ̀ɛ̀sɛɛ lɛ ù kìkì, "
PHM.1.9,"ki mɓiisɛɛ mɛ̀ kì kɔ̀ni lɛ mɓɔŋzi wɔ̀ ɓi nkɔ̀nɛ̀n. Ɓi rìɓa ɗi mɛ̀ Pol ǹɗì ɗi kìtùg ki mum, à kɛ̀ɛ̀dì kì ɓaà lɛ ɓigomìnɛ ǹɗì kìmbùŋ ɓisuu Yeesus Kiris. "
PHM.1.10,M̀ɓɔ̀ŋzaagh wɔ̀ ɓisuu Onezim à man wɛm̀ ànɛ ǹ-yali ɓi Kiris di ǹɗì ɓi naà-zày. 
