livre.chapitre.verset,Bafia
PHP.1.1,"Ɓìsi ɓɛ̀kìì-ɓìsay ɓɛ Yeesus Kiris lɛ rì Pol, rì Timote, tì kàni ɓum ɓɛ Bɛ̀ll ɓɛ̀ ɓi Yeesus Kiris ɓɛ̀cèm ɓɛ ɓi bàn ì Filiɓ, rì ɓɛ̀kɛ̀ɛ̀sì ɓaa rì ɓɛ̀dyaakìrɛ̀. "
PHP.1.2,"Bɛ̀ll à Seŋi wìs rì Kan Yeesus Kiris ɓɛɛ fa mìni lɛ rì geesɛ̀n, rì fyòoog."
PHP.1.3,"Cààmɛ̀n kìcèm ki ǹ-yitii mìni, ǹti falàg Bɛ̀ll wɛ̀m ɓìtògsɛ̀n. "
PHP.1.4,"Ɓi bɔ̀ŋzɛ̀n yìcèm yi nkìki ɓisu win ɓɛsɛ̀ɛ̀ ɓɛ̀cèm, ǹti m̀ɓɔ̀ŋzàg rì kìnyàà, "
PHP.1.5,"ɓisuu gàɓ ìnɛ ɓì mɛ teɗ ɓi rìsààtì ɗi Syeesyee à Ɓɔlɛ, à tumɛ̀n ŋwos a ǹtonto, à kpaŋ ɓigomìnɛ. "
PHP.1.6,"Ǹ-yii syeesyee à rìyi lɛ roànɛ à tumɛ̀ngà syeesyee à kìsay anɛ̀n ɓi mìni, à rì ɓiì kɛ̀ɛ ri kɔ asu à kpaŋ yɛ̀ɛ à ri wɔmɓɛn kɔ ɓi ŋwos a Yeesus Kiris. "
PHP.1.7,"Ki wooghrɛɛ gì lɛ mɓa rì mekuu mɛ mɛyitì mɛ fɔlɔɔ ɓi san wìn, ɓisuulɛ ɓì rì mɛ̀ ɓi nɗem, rì tì lɛ, nsoò cààmɛ̀n ki ǹɗì ɓi naà-zày, nsoò cààmɛ̀n ki ǹɗì ɓidan nkàakamɛ̀n ǹki sìisiìràg Syeesyee à Ɓɔlɛ, mìniìcèm ɓì ti ɓì tekì gàɓ ɓi geesɛ̀n ìnɛ Bɛ̀ll à kìghà mɛ̀. "
PHP.1.8,"Lɛ Bɛ̀ll à rì mɛ̀ wusìnɛ̀ɗ lɛ, ǹkeesii mìni ɓɛ̀sɛ̀ɛ̀ ɓɛ̀cèm rì syeesyee à ǹkɔ̀nɛ̀n à Yeesus Kiris. "
PHP.1.9,"Com ki mɛ̀ɛ ntɔtɔg Bɛ̀ll ɓi bɔ̀ŋzɛ̀n yɛm̀ ki ri lɛ, ǹkɔ̀nɛ̀n wìn a kɛn asu à tɔɔtɔ̀ɔ̀, ɓi rìyi ɗi ɓiɓan, rì ɓi syeesyee à rìwog, "
PHP.1.10,"fɔlɔɔ nnɛ ɓi ɓiì yiì rìghasì ɗi ɓiɓan ɓi ɓi ri rì gɛɓsɛ̀n, ɓì ki ɓa mɛrem lɛ sɛɛghi sɛɛghi, kɛ̀ɛ̀ kìɓan ki ɓɛ ri lɛ ɓɛ ɓɛy mìni miì ŋwos a Kiris; "
