livre.chapitre.verset,Bafia
REV.1.1,"Àpòkàliɓsɛ̀ à Yeesus Kiris, ànɛ Bɛ̀ll à faghà nyi lɛ a resi ɓɛ̀kìì-ɓìsay ɓii ɓiɓan ɓi ɓi ghɛɛ̀sɛɛ kì kìlɛɛ di maa cààmɛ̀n à ghaghii, ɓyɛɛ̀ɓi à kìghà lɛ ɓum ɓɛɛ yi, yɛ̀ɛ à romgày mum wiì à fìtom yɛ̀ɛ nkìì-kìsay wiì ànɛ lɛ Zyaŋ, "
REV.1.2,"Zyaŋ ànɛ̀n yɛɛ kalìghà ɓìɓan ɓìcèm ɓi à ghɛngà, fɔɔnnɛ à ghagsìghà jɛ̀ɛ̀ ì Bɛ̀ll rì ɓìɓan ɓi saaɗ ɓi Yeesus Kiris à rèsìghà nyi."
REV.1.3,"Mààgh lɛ, rì roànɛ a ɓàɓày rì ɓɛ̀roɓɛ ɓɛɛ̀ wowog ɓiɓan ɓi Bɛ̀ll ɓi ɓɛ resii ɓi, ɓɛ ki nɔ̀ɔnɔɔ̀tì com ki ki ri kìkànɛn miì ɓisuulɛ cààmɛ̀n ki lɛ ɓyɛɛ kilɛn ki ti jàŋbog."
REV.1.4,"Zyaŋ yɛɛ kani Ɓìseŋi ɓi Kiris ɓi kitaàɓɛ̀ɛ̀ ɓi ɓi ri a Azii. Ɓaana lɛ, rì geesɛ̀n, rì fyòoog lɛ rìfa ɗi roànɛ à rì, ànɛ à ɓaghà, ànɛ a ki yùyuiy, rì mɛ̀ghay mɛ kitaàɓɛ̀ɛ̀ mɛ mɛ rɛrɛlii ìkɔ̀ɔ̀ wii wu rilàmì asu, "
REV.1.5,"rì lɛ rìfa ɗi Yeesus Kiris ànɛ à rì wusìnɛ̀ɗ à ǹtyweeyi, ànɛ à rì Man à ǹtonto ànɛ à lokà kìghèmɓɛɛ yi a ɓìloŋ, à ki ɓa ti nkɔ̀mɛ̀n mɛ̀fòm mɛ ɓi ziinɛ. Roànɛ a keesag ɓisi, roànɛ à kwèɗkà ɓìsi ɓi ɓìɓe ɓis rì bwaɓ yii, "
REV.1.6,"nyi yɛɛ ki kìghà lɛ ti ɓa kìlɔ̀ŋ ki ɓumɓɛ ɓɛɛ̀ ɓɔɔɓɔgsì Bɛ̀ll à Seŋi wìì, Yeesus ànɛ̀n yɛɛ ghɛɛ̀sɛɛ lɛ rì rìkem ɗì rìlàmì fìɗyàɓ fikɔ̀ɔ̀. Ààmɛ̀n."
REV.1.7,"Ghɛɛna à rìì ɓi ɓìkwìɗ, ɓum ɓɛ̀cèm ɓɛ ri nyi ɓiì ghɛɛ̀, nsoò ɓɛ̀roɓɛ ɓɛ tuɓkà nyi bèn. Fɔɔnnɛ mɛ̀kuu mɛ ɓum mɛ̀cèm mɛ ɓi ziinɛ mɛ ri seeghkɛɛ gɛ ɓisu wii. Ɛ̀ɛ̀ ki ɓaa gɛ fɔlɔɔ. Ààmɛ̀n. "
REV.1.8,"Kan Bɛ̀ll a kpaaghi lɛ: Mɛ̀ yɛɛ ri Alfà, rì Omegà, roànɛ à rì, ànɛ à ɓaghà, ànɛ a yùyuiy, roànɛ à rì rì ìtèɗ wucèm."
REV.1.9,"Mɛ̀ zyaŋ ànɛ ǹɗì geni wìn, ǹɗì rì gàɓ lɛ rì ɓi mɛ̀tɔɓ, rì ɓi kìlɔ̀ŋ ki Bɛ̀ll rì ɓi rìsììrɛ̀n ɗi ɓi Yeesus, m̀ɓaghà ɓi kìrìŋ ki riɓày ki lɛ Patmos ɓisuu righagsì ɗi jɛ̀ɛ̀ ì Bɛ̀ll, ǹki tɛɛ̀zi saaɗ ànɛ ɓi kìɓan ki Yeesus. "
REV.1.10,"Ǹghay à sɛngà ɓi mɛ̀ ŋwosi Kan fɔɔnnɛ  ǹwokà coo jɛ̀ɛ̀ mɛ̀ ajɛ̀m lɔŋ yɛ̀ɛ gom ì ɗyam ɗi ɓɛɛ̀ rɔŋɗɔ̀ŋ, "
