livre.chapitre.verset,Bafia
TIT.1.1,"Mɛ̀ Pol ànɛ ǹɗì ǹkìì-kìsay a Bɛ̀ll, ǹki ɓa ti ǹkɛ̀nì-fìtom a Yeesus Kiris lɛ nsyoŋ̀ yì ɓumɓɛ ɓɛ ri ɓɛ̀ɓɔ̀nɛn lɛ ɓɛɛ gherɛn Bɛ̀ll, ɓɛ ki yi saaɗ ànɛ à rì yɛ̀ɛ rìgherɛ̀n ɗis ɗyɛɛ̀ kpaakpàà, "
TIT.1.2,"kìɓan kiǹ kɛɛ sasaghii ɓi dyàɓɛn i cɛɓ ki fiɗyàɓ fikɔ̀ɔ̀, ki Bɛ̀ll ànɛ a maà pwàà ɓi a kàkà fìɗyàɓ, di ɓyààmɛ̀n ɓi a rìtumɛ̀n ɓi ka yin. "
TIT.1.3,"Yɛ̀ɛ cààmɛ̀n ki ki ɓaghà kìsiŋdɛn ki kpagà, à kìghà lɛ jɛ̀ɛ̀ yìì yɛ̀ɛ yilɛn ɓi kìɓan ki à faghà mɛ̀ lɛ nlaàlamɓɛ̀n yɛ̀ɛ rìkalì ɗi Bɛ̀ll ànɛ à rì ǹghɛɓsì wìs ɗi ri."
TIT.1.4,"Ǹkàni wɔ̀ Tit, kɔɔ̀kɔɔ̀ à man wɛm̀ ɓi rìgherɛ̀n ɗi ɗi ri ɓìsi bas, Bɛ̀ll à Seŋi wìs rì ǹkòrì wìs Yeesus Kiris, ɓɛɛ fa wɔ̀ lɛ rì geesɛ̀n, rì fyòoog."
TIT.1.5,"Tit, mɛ̀ɛ ncàri wɔ̀ a Kirɛt lɛ u legsiì kìwòŋzaagh ɓiɓan ɓi ɓi kaka wɔɔ kɛ̀ɛ̀ rìwòŋzàg, ù ki rɛsi ti ɓɛ̀sɛ̀ɛ̀mɛn ɓɛ Kiseŋi ɓi bàn yìcèm lɔŋ yɛ̀ɛ mɛ̀ɛ ǹsiitaagh wɔ̀. "
TIT.1.6,"Mum ǹcèm ànɛ ɓi ɓumɓɛ̀n à ghɛ̀ɛ̀sɛɛ kì ɓaà kɛ̀ɛ̀ kìɓan ki ɓɛ cɛmdɛ̀n, à ɓa giɓ bog, ɓɔn ɓii ɓɛ ghɛɛ̀sɛɛ kì ɓaà ɓɛ̀gherɛ̀n, ɓɛ̀ kɛɛ̀ ɓa ɓɔɓti ɓɛ ɓum ɓɛɛ̀ cɛɛcɛmdɛ̀n lɛ ɓɛ ri lɛ nyùùnyùùgh, nsoò lɛ ɓɛ ri rì ntoòtèɗ. "
TIT.1.7,"Lɛ ki ghɛɛ̀sɛɛ lɛ ǹkɛ̀ɛ̀sì-kìseŋi a ɓa kɛ̀ɛ̀ tìcɔrɔɓ fɛlɛ yɛ̀ɛ m̀ɓèŋì ɓyom ɓi Bɛ̀ll; à ghɛ̀ɛ̀sɛɛ ɓi ki ɓaà rì kalɛn kɛ̀ɛ ɓa ŋwaà bim, kɛ̀ɛ ɓa kinɔɔ̀ mɛ̀rɔ̀g, kɛ̀ɛ ɓa ri ɓìgùg, kɛ̀ɛ ɓa ri kìsyɔ̀ɔ̀ ki lɛ a fɔngi mɔ̀ɔ̀ni ɓi kìcòò. "
TIT.1.8,"Kìɓan kifog à ghɛ̀ɛ̀sɛɛ kì yiì rìghàɓ ɗi ɓɛ̀kèn, à keesì ɓìɓan ɓi syeesyee, à ɓa rì ɗyomzɛ̀n, à ɓa lɛ saaɗ, à ɓa ǹtɛnɛn ɓi mis mɛ Bɛ̀ll, à ki ɓìɓ nɗem, "
TIT.1.9,"à sììrɛ̀n lɛ tiŋtiŋ ɓi kɔɔ̀kɔɔ̀ à jɛ̀ɛ̀ lɔŋ yɛ̀ɛ ɓɛ resìghà nyi yɔ̀, fɔlɔɔ nnɛ à rì ɓiì ɓaà rì ìtèɗ wulɛ a rereɓ ɓum yɛ̀ɛ syeesyee à dɔgtɛ̀n a rèrèsì, à ki kì lɛ ɓumɓɛ ɓɛɛ̀ ɗùùɗuu ri syeesyee à dɔgtɛ̀n ɓɛɛ yi lɛ ɓɔ yɛɛ ri ɓi zɛ̀ɗ."
TIT.1.10,"Ǹkpaa fɔlɔɔ ɓisuulɛ ɓum lɛɛ̀gwey ɓɛ ri rì ntoòtèɗ, ɓɔ rì mɓog à ŋwɔm ɓɛ ki ɓa ri ǹ-yègsɛ̀n à ɓiìɓììsɛ̀n ɓi nyìinyìm à Ɓɛ̀yudɛ̀n ɓɛ ɓɛ ri ɓɛ̀kìristɛ̀n, "
